SUB-UNIT UIC,SUB-UNIT NAME
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AKQAA,4TH BN 42NDARTY
AKBAA,1ST BN 8TH INF
AKSAA,124 SIG BN
AKBAA,1ST BN 8TH INF
AKAAA,4TH S&T BN
AJ9AA,4TH MED BN
AJ5AA,HHC 3RD BDE
AJ2AA,4TH ENG BN
AJ1AA,4TH AVN BN
AJZAA,HHC
FK7AA,3RD BN 12TH INF
AMBAA,2ND BN 35TH INF
AMDAA,1ST BN 69 ARMOR
AMBAA,2ND BN 35TH INF
AMAAA,1ST BN 35TH INF
ALUAA,1ST BN 14TH INF
ALRAA,2ND BN 9TH ARTY
ARV02,DIV MORTAR BTRY
ALRAA,2ND BN 9TH ARTY
AKFAA,1ST BN 12TH INF
AKEAA,1ST SQ 10TH CAV
AKHAA,5TH BN 16 ARTY
AKKAA,1ST BN 22ND INF
AKEAA,1ST SQ 10TH CAV
AKDAA,3RD BN 8TH INF
AKMAA,6TH BN 29THARTY
AKDAA,3RD BN 8TH INF
AKQAA,4TH BN 42 ARTY
AKDAA,3RD BN 8TH INF
AKCAA,2ND BN 8TH INF
AKSAA,124 SIG BN
AKCAA,2ND BN 8TH INF
AKBAA,1ST BN 8TH INF
AKAAA,4TH S&T BN
AJ9AA,4TH MED BN
AJ8AA,4TH ADMIN CO
AJ7AA,HHC DIV SPT CMD
AJ1AA,4TH AVN BN
AMDAA,1ST BN 69 ARMOR
AMAAA,1ST BN 35TH INF
ALRAA,2ND BN 9TH ARTY
ARV02,DIV MORTAR BTRY
ALRAA,2ND BN 9TH ARTY
ADPAA,2ND BN 1ST CAV
D3KAA,H BTRY 29THARTY
DGLAA,1ST BN 11THARTY
DGMAA,2ND BN 4TH ARTY
DGNAA,3RD BN 34THARTY
DGPAA,1ST BN 84THARTY
DGLAA,1ST BN 11THARTY
DGDAA,4TH BN 39TH INF
DGCAA,3RD BN 39TH INF
DGLAA,1ST BN 11THARTY
DGDAA,4TH BN 39TH INF
DGCAA,3RD BN 39TH INF
DGBAA,2ND BN 39TH INF
DGEAA,2ND BN 47TH INF
DGDAA,4TH BN 39TH INF
DGBAA,2ND BN 39TH INF
DF8AA,709TH MAINT BN
DFYAA,15TH ENG EN
DFWAA,9TH AVN BN
DGKAA,5TH BN 60TH INF
DGJAA,3RD BN 60TH INF
DGHAA,2ND BN 60TH INF
DGGAA,4TH BN 47TH INF
DGFAA,3RD BN 47TH INF
DGEAA,2ND BN 47TH INF
DFWAA,9TH AVN BN
DGJAA,3RD BN 60TH INF
DGKAA,5TH BN 60TH INF
DGLAA,1ST BN 11THARTY
DGMAA,2ND BN 4TH ARTY
DGNAA,3RD BN 34THARTY
DGPAA,1ST BN 84THARTY
DGFAA,3RD BN 47TH INF
DGGAA,4TH BN 47TH INF
DGFAA,3RD BN 47TH INF
